Task_ID,Department,Task_Type,Priority,Deadline_Days,Estimated_Hours,Resource_Available
110,Tech,Campaign,3,11,3,1
111,HR,Payment,4,23,11,0
112,Tech,Development,4,4,7,0
113,HR,Hiring,3,20,17,0
114,Finance,Payment,5,16,9,1
115,Tech,Development,2,7,9,1
116,HR,Payment,5,22,10,1
117,Marketing,Hiring,5,29,13,1
118,Finance,Campaign,3,11,15,1
119,HR,Campaign,4,24,5,1
120,Marketing,Development,5,1,3,1
121,HR,Support,4,26,8,0
122,Marketing,Development,1,29,20,1
123,Finance,Support,4,27,10,1
124,Tech,Payment,2,7,13,1
125,Marketing,Payment,2,12,3,0
126,HR,Hiring,5,7,8,0
127,Finance,Support,4,27,9,0
128,Marketing,Hiring,5,23,12,1
129,HR,Campaign,3,7,11,0
130,HR,Support,2,10,2,0
131,HR,Development,5,30,18,1
132,Marketing,Campaign,3,16,9,1
133,Marketing,Campaign,5,26,2,1
134,Marketing,Development,4,8,2,0
135,Tech,Campaign,4,9,3,1
136,Marketing,Support,4,9,16,1
137,Marketing,Hiring,4,2,19,1
138,Marketing,Campaign,1,13,4,1
139,Tech,Support,3,13,18,1
140,Marketing,Payment,3,23,20,1
141,HR,Support,4,23,18,0
142,Marketing,Hiring,1,4,10,1
143,HR,Support,4,25,11,0
144,HR,Development,1,24,17,0
145,HR,Hiring,4,12,20,1
146,Tech,Payment,2,17,16,0
147,Tech,Development,2,2,20,0
148,Tech,Support,5,13,13,0
149,Marketing,Hiring,4,29,2,1
150,HR,Payment,3,18,2,0
151,Tech,Development,5,28,14,0
152,Tech,Payment,2,28,4,0
153,Marketing,Support,4,27,17,0
154,Tech,Payment,5,15,13,1
155,Marketing,Campaign,4,8,4,1
156,Finance,Development,2,15,3,0
157,Tech,Payment,5,1,12,1
158,Finance,Support,2,20,8,1
159,Marketing,Support,1,10,2,0
160,HR,Payment,2,12,6,1
161,Tech,Support,4,5,10,1
162,Marketing,Hiring,3,9,12,0
163,HR,Hiring,2,23,10,0
164,HR,Hiring,3,8,10,1
165,Finance,Campaign,1,16,3,1
166,Marketing,Payment,5,14,20,1
167,HR,Campaign,5,27,10,1
168,Tech,Support,3,25,9,0
169,Tech,Campaign,5,13,20,0
170,Finance,Support,2,23,19,0
171,HR,Support,3,21,14,0
172,Marketing,Development,4,13,2,0
173,Tech,Hiring,2,5,5,1
174,HR,Support,2,16,20,1
175,HR,Development,2,26,8,0
176,Finance,Hiring,4,11,7,0
177,Tech,Support,1,22,6,0
178,Tech,Support,5,5,11,1
179,Marketing,Campaign,3,13,12,1
180,Tech,Campaign,1,28,18,1
181,Marketing,Hiring,3,11,19,0
182,Tech,Support,5,25,10,0
183,Finance,Payment,4,19,14,0
184,Tech,Campaign,2,3,3,0
185,Marketing,Hiring,2,15,18,0
186,Marketing,Support,4,7,15,1
187,Finance,Support,1,7,6,0
188,Tech,Payment,1,6,10,1
189,Tech,Hiring,3,3,12,1
190,Finance,Support,4,30,7,1
191,Tech,Campaign,1,13,17,1
192,Tech,Payment,4,7,1,1
193,Marketing,Hiring,5,5,18,0
194,Tech,Payment,2,23,15,0
195,Tech,Campaign,2,18,19,0
196,Finance,Hiring,2,22,1,1
197,Finance,Payment,4,30,5,1
198,HR,Development,4,8,15,1
199,Marketing,Campaign,3,17,3,1
200,Tech,Campaign,2,20,1,1
201,Tech,Campaign,3,27,8,1
202,HR,Development,2,1,12,0
203,Tech,Development,3,14,19,1
204,Marketing,Support,3,17,12,1
205,HR,Payment,5,10,13,0
206,Marketing,Support,3,12,1,1
207,HR,Payment,4,16,19,0
208,HR,Development,3,14,6,0
209,Finance,Development,2,30,8,0
210,Marketing,Support,3,27,4,1
211,Tech,Hiring,1,16,5,0
212,Tech,Support,2,8,7,0
213,Marketing,Payment,1,23,4,1
214,Tech,Support,2,28,20,0
215,Tech,Campaign,4,10,4,1
216,Marketing,Payment,4,29,15,1
217,HR,Payment,4,17,5,0
218,Marketing,Hiring,1,27,9,1
219,HR,Development,5,30,2,1
220,Tech,Payment,2,29,7,0
221,Tech,Development,4,18,17,0
222,Tech,Support,2,20,16,0
223,Finance,Campaign,1,16,17,0
224,HR,Hiring,5,17,20,1
225,Finance,Development,1,16,2,0
226,Finance,Payment,2,19,11,0
227,Marketing,Development,5,24,2,0
228,Finance,Payment,5,24,1,1
229,Marketing,Development,1,8,2,1
230,Marketing,Payment,4,6,9,1
231,Finance,Support,2,6,2,1
232,HR,Payment,3,21,15,1
233,HR,Payment,3,29,10,0
234,HR,Campaign,1,9,15,1
235,HR,Payment,2,4,10,1
236,HR,Campaign,2,26,17,1
237,Finance,Hiring,1,12,9,0
238,Finance,Campaign,2,28,18,0
239,Tech,Support,4,12,4,1
240,HR,Campaign,1,23,9,0
241,Finance,Hiring,4,17,16,1
242,Tech,Support,2,15,4,0
243,HR,Development,1,9,16,0
244,Marketing,Development,2,7,19,1
245,Tech,Campaign,1,10,1,0
246,Finance,Campaign,2,16,6,1
247,Marketing,Hiring,4,12,10,1
248,Marketing,Hiring,4,25,16,1
249,Marketing,Payment,2,7,4,0
250,Tech,Hiring,1,18,13,0
251,Finance,Payment,3,15,16,1
252,Marketing,Support,4,6,20,1
253,HR,Campaign,4,26,6,0
254,Marketing,Support,3,12,11,1
255,Marketing,Hiring,2,11,3,0
256,Tech,Support,1,20,20,0
257,Tech,Support,2,3,10,0
258,Finance,Support,5,2,1,1
259,HR,Hiring,4,6,20,1
260,Tech,Support,5,24,11,0
261,Marketing,Payment,4,22,12,1
262,Finance,Hiring,4,25,14,1
263,Marketing,Support,5,30,8,0
264,Marketing,Hiring,5,5,11,0
265,Tech,Development,2,18,4,1
266,Finance,Payment,5,16,7,0
267,HR,Support,2,8,10,1
268,HR,Development,2,25,19,0
269,Tech,Development,2,30,4,0
270,Tech,Hiring,4,26,2,1
271,Finance,Development,4,20,18,1
272,HR,Payment,5,22,14,1
273,HR,Payment,4,11,16,1
274,HR,Campaign,5,10,11,1
275,Marketing,Payment,4,24,10,0
276,HR,Development,1,25,17,0
277,Marketing,Payment,1,12,14,1
278,Finance,Hiring,5,21,4,0
279,Marketing,Campaign,4,28,19,1
280,Finance,Development,4,6,2,0
281,HR,Campaign,2,27,7,0
282,HR,Development,3,20,9,1
283,Finance,Hiring,5,5,19,1
284,Tech,Campaign,3,23,16,1
285,Finance,Support,3,9,16,0
286,Tech,Development,5,26,18,1
287,Marketing,Support,4,27,11,1
288,Marketing,Campaign,5,29,7,1
289,Marketing,Support,3,16,9,1
290,HR,Support,4,22,4,1
291,Marketing,Campaign,1,14,13,1
292,Tech,Hiring,5,22,4,0
293,Marketing,Support,5,8,19,0
294,Finance,Support,4,27,2,0
295,Finance,Hiring,1,20,9,0
296,HR,Support,1,19,12,1
297,Finance,Support,4,14,2,1
298,Tech,Support,2,7,6,0
299,Marketing,Payment,5,5,5,0
300,HR,Hiring,5,18,5,0
301,Marketing,Support,3,2,20,1
302,Marketing,Hiring,4,11,5,1
303,Tech,Development,3,22,4,1
304,Finance,Development,3,8,9,0
305,Finance,Support,1,1,10,0
306,Marketing,Hiring,5,27,16,0
307,HR,Hiring,3,22,10,0
308,Finance,Hiring,1,12,10,0
309,HR,Payment,4,2,19,1
310,Finance,Development,3,18,10,1
311,HR,Hiring,5,7,6,1
312,Tech,Hiring,3,26,17,1
313,HR,Payment,4,17,5,1
314,Tech,Payment,3,22,6,0
315,Tech,Hiring,5,30,15,1
316,HR,Campaign,1,23,19,0
317,Tech,Hiring,5,14,18,1
318,Marketing,Hiring,1,24,4,0
319,Tech,Payment,2,7,8,0
320,Finance,Payment,5,22,16,0
321,HR,Hiring,5,25,19,0
322,Marketing,Hiring,4,29,20,0
323,HR,Hiring,3,3,3,0
324,Finance,Payment,1,27,10,1
325,Finance,Hiring,1,6,2,0
326,Finance,Hiring,4,20,4,0
327,Tech,Support,4,2,6,1
328,Tech,Campaign,3,17,11,0
329,HR,Development,3,12,14,1
330,HR,Campaign,5,12,16,1
331,Marketing,Support,2,30,19,0
332,Marketing,Development,3,17,2,0
333,HR,Hiring,4,27,17,1
334,Tech,Support,3,10,9,0
335,Finance,Hiring,1,3,17,1
336,HR,Payment,2,20,15,0
337,Marketing,Support,5,18,7,1
338,Tech,Payment,1,13,19,0
339,HR,Support,1,12,3,0
340,HR,Support,2,27,1,1
341,Tech,Payment,5,27,4,1
342,HR,Development,4,30,18,1
343,Tech,Campaign,5,27,8,1
344,Finance,Hiring,3,17,19,0
345,Tech,Support,1,4,6,1
346,Tech,Hiring,3,23,1,1
347,Tech,Payment,4,10,8,0
348,HR,Hiring,3,11,1,0
349,HR,Payment,5,6,19,1
350,Tech,Hiring,3,6,11,0
351,HR,Campaign,4,27,15,1
352,Marketing,Campaign,4,9,11,0
353,Marketing,Campaign,4,30,19,1
354,HR,Campaign,5,15,10,0
355,HR,Campaign,4,2,12,1
356,Tech,Campaign,1,4,1,1
357,Finance,Payment,4,5,7,0
358,HR,Support,3,17,17,0
359,Marketing,Hiring,3,8,10,1
360,Tech,Campaign,3,8,6,1
361,HR,Payment,5,22,17,0
362,Marketing,Payment,3,12,18,0
363,Marketing,Payment,5,21,5,0
364,Finance,Support,5,8,18,0
365,Tech,Hiring,4,19,17,0
366,Tech,Support,1,3,16,0
367,Finance,Development,4,18,8,0
368,Finance,Payment,4,21,13,0
369,Tech,Development,5,19,16,0
370,Tech,Campaign,5,19,11,1
371,HR,Campaign,3,15,6,0
372,HR,Support,3,6,3,0
373,Finance,Hiring,4,16,1,1
374,HR,Development,2,8,18,1
375,Marketing,Hiring,2,16,5,1
376,HR,Support,3,18,13,1
377,HR,Campaign,2,20,10,1
378,Marketing,Hiring,3,16,5,1
379,Finance,Hiring,5,11,14,0
380,Marketing,Campaign,4,7,17,1
381,HR,Development,1,17,1,1
382,Finance,Campaign,4,17,2,1
383,HR,Hiring,3,12,7,0
384,Marketing,Development,3,13,10,1
385,Marketing,Development,4,10,20,0
386,HR,Campaign,3,7,7,1
387,Tech,Hiring,2,14,16,1
388,Tech,Support,2,23,5,0
389,Marketing,Hiring,3,1,12,0
390,Marketing,Payment,3,17,17,1
391,Tech,Support,2,4,16,0
392,Tech,Development,3,21,20,0
393,HR,Support,3,5,16,1
394,HR,Development,4,20,19,1
395,Tech,Development,1,24,15,1
396,HR,Support,2,23,12,0
397,HR,Development,4,25,10,1
398,Finance,Development,1,7,2,1
399,HR,Payment,3,10,7,0
400,Marketing,Hiring,3,17,13,0
401,HR,Hiring,4,29,3,1
402,HR,Payment,3,30,15,0
403,Tech,Support,5,7,1,1
404,Marketing,Campaign,4,1,3,0
405,HR,Campaign,1,7,10,1
406,HR,Campaign,4,26,15,0
407,Finance,Payment,2,24,6,0
408,HR,Payment,4,11,20,0
409,HR,Development,3,9,15,0
410,Finance,Campaign,3,12,7,1
411,Tech,Support,5,3,5,0
412,HR,Support,5,4,4,1
413,Finance,Campaign,5,4,18,0
414,Marketing,Campaign,1,28,3,0
415,Tech,Campaign,5,25,17,1
416,Marketing,Payment,1,13,18,0
417,Marketing,Payment,5,23,18,0
418,Finance,Payment,1,19,2,1
419,HR,Hiring,4,10,13,0
420,Finance,Support,4,5,15,1
421,Finance,Support,3,7,5,0
422,Finance,Development,1,24,3,0
423,Finance,Payment,2,16,5,0
424,Tech,Hiring,3,1,5,1
425,HR,Hiring,4,12,5,0
426,Marketing,Support,1,2,3,0
427,Marketing,Payment,5,7,3,0
428,HR,Development,2,11,20,0
429,Marketing,Payment,4,29,18,0
430,HR,Campaign,3,30,20,0
431,Marketing,Payment,1,13,4,0
432,Finance,Campaign,2,2,1,0
433,Marketing,Campaign,1,7,16,0
434,HR,Development,5,15,8,1
435,HR,Support,3,25,17,0
436,HR,Payment,1,11,8,1
437,HR,Campaign,4,2,7,1
438,HR,Payment,3,7,8,1
439,Tech,Support,4,4,12,0
440,Tech,Support,1,11,16,1
441,Marketing,Hiring,3,29,12,1
442,HR,Support,4,2,19,1
443,Marketing,Development,5,29,10,0
444,HR,Campaign,5,16,7,1
445,HR,Hiring,1,7,12,0
446,Tech,Development,3,13,20,1
447,Tech,Payment,2,5,5,1
448,Finance,Campaign,3,17,16,0
449,Tech,Support,5,21,9,0
450,Finance,Campaign,4,12,7,1
451,Finance,Payment,2,28,20,1
452,Finance,Hiring,1,19,14,1
453,Finance,Hiring,2,7,11,0
454,Finance,Hiring,1,6,7,0
455,Marketing,Support,2,8,10,1
456,Tech,Development,1,13,9,1
457,Finance,Development,1,5,4,0
458,HR,Campaign,2,2,16,0
459,Tech,Support,2,9,10,1
460,Tech,Hiring,1,30,19,0
461,Finance,Hiring,5,11,17,1
462,Marketing,Payment,2,24,9,0
463,Finance,Payment,3,6,13,1
464,Marketing,Hiring,4,29,1,1
465,HR,Hiring,1,26,2,1
466,Tech,Support,1,7,13,0
467,HR,Development,4,25,9,1
468,Marketing,Payment,5,7,7,1
469,Marketing,Development,4,19,16,0
470,HR,Support,2,6,19,1
471,Marketing,Hiring,4,11,7,1
472,HR,Development,1,29,6,1
473,Tech,Hiring,4,11,18,0
474,HR,Hiring,3,7,19,0
475,Tech,Campaign,2,2,11,0
476,HR,Development,4,19,12,0
477,Marketing,Development,1,4,10,1
478,HR,Hiring,2,26,13,0
479,Marketing,Support,1,6,12,0
480,HR,Campaign,5,17,10,0
481,HR,Hiring,3,25,20,1
482,Finance,Payment,5,5,18,1
483,Marketing,Payment,3,29,4,1
484,Finance,Campaign,4,28,5,0
485,Marketing,Support,2,30,5,1
486,Finance,Hiring,4,7,12,1
487,Tech,Development,3,9,3,0
488,HR,Campaign,3,25,8,1
489,Marketing,Support,3,1,2,0
490,Marketing,Development,1,1,18,0
491,HR,Payment,2,19,9,1
492,Marketing,Payment,4,6,13,0
493,Marketing,Development,4,18,7,0
494,Finance,Campaign,5,10,10,0
495,Marketing,Payment,3,28,9,0
496,Tech,Hiring,3,11,15,0
497,Tech,Development,3,1,5,0
498,HR,Development,4,1,12,1
499,Marketing,Payment,5,13,1,0
500,HR,Campaign,1,5,12,0
501,Tech,Hiring,2,20,6,0
502,Marketing,Campaign,1,1,19,0
503,Marketing,Support,4,20,19,1
504,HR,Support,3,3,16,1
505,Tech,Payment,2,18,19,0
506,Marketing,Payment,4,9,3,1
507,HR,Payment,4,14,10,0
508,Tech,Support,4,27,18,0
509,HR,Campaign,2,17,13,0
510,Finance,Campaign,2,23,18,0
511,Marketing,Payment,5,14,3,1
512,Finance,Hiring,5,29,3,1
513,Tech,Campaign,1,4,12,0
514,Finance,Support,2,5,20,0
515,Finance,Development,2,26,7,1
516,Tech,Development,2,21,8,1
517,HR,Development,5,17,9,0
518,Finance,Hiring,4,22,14,1
519,HR,Payment,3,29,5,0
520,Finance,Support,5,25,19,1
521,HR,Hiring,2,2,16,1
522,Tech,Support,5,23,12,1
523,Finance,Support,1,22,4,1
524,Tech,Payment,2,5,8,0
525,Finance,Development,1,4,7,0
526,Tech,Payment,2,4,15,1
527,Tech,Hiring,5,6,6,0
528,Finance,Hiring,4,20,5,1
529,Finance,Hiring,3,21,14,1
530,Finance,Payment,1,13,13,0
531,Marketing,Support,5,22,10,0
532,HR,Support,4,5,18,0
533,Marketing,Campaign,5,23,4,1
534,Marketing,Hiring,1,25,8,0
535,Tech,Support,3,26,11,0
536,Finance,Campaign,5,23,17,0
537,HR,Support,2,7,18,0
538,Tech,Hiring,4,20,11,1
539,Marketing,Development,5,1,16,1
540,Finance,Hiring,4,14,12,1
541,Tech,Payment,2,24,13,1
542,Finance,Support,3,4,16,1
543,Tech,Support,3,17,1,1
544,Finance,Payment,2,21,16,1
545,Marketing,Payment,4,14,15,0
546,HR,Development,5,16,6,1
547,Marketing,Support,2,14,12,1
548,HR,Support,1,16,8,1
549,Finance,Development,4,24,7,1
550,Tech,Campaign,3,20,2,0
551,Marketing,Development,2,29,12,1
552,HR,Hiring,3,28,14,1
553,Marketing,Support,4,8,16,0
554,HR,Payment,3,24,11,1
555,Marketing,Hiring,2,3,20,1
556,HR,Support,4,25,9,1
557,HR,Development,1,19,10,1
558,Finance,Hiring,2,1,17,1
559,HR,Support,5,2,12,1
560,Finance,Campaign,2,15,6,1
561,HR,Campaign,4,22,19,0
562,Tech,Payment,2,28,11,0
563,Tech,Support,1,10,9,1
564,Tech,Campaign,1,18,6,0
565,HR,Development,5,22,16,1
566,Finance,Support,3,14,20,0
567,Finance,Development,4,17,16,1
568,HR,Development,4,27,6,0
569,Tech,Campaign,3,13,5,1
570,Tech,Support,1,1,4,0
571,Finance,Hiring,1,5,2,0
572,Tech,Campaign,2,26,6,1
573,Marketing,Campaign,5,13,9,1
574,Finance,Support,5,27,17,0
575,Tech,Support,5,25,14,0
576,Finance,Development,2,14,7,1
577,Marketing,Support,5,24,19,0
578,Finance,Development,3,3,1,1
579,Finance,Campaign,2,15,20,0
580,Finance,Payment,3,19,15,0
581,Finance,Hiring,2,17,18,1
582,Marketing,Campaign,5,30,3,1
583,HR,Support,3,3,18,1
584,Finance,Hiring,3,16,2,0
585,Finance,Payment,3,14,10,0
586,Tech,Payment,2,12,11,0
587,Finance,Development,4,28,3,1
588,Tech,Hiring,5,12,7,0
589,HR,Development,3,29,8,0
590,Marketing,Campaign,4,11,19,1
591,Marketing,Hiring,5,17,18,0
592,HR,Campaign,5,8,13,0
593,Marketing,Development,3,17,13,1
594,HR,Hiring,3,21,19,1
595,HR,Development,2,25,12,1
596,HR,Hiring,4,23,17,1
597,Marketing,Development,4,20,12,1
598,Tech,Payment,3,11,13,1
599,HR,Development,5,25,12,1
600,Finance,Payment,3,25,19,1
601,Marketing,Development,5,2,14,1
602,HR,Hiring,5,10,7,0
603,HR,Hiring,3,10,13,1
604,Finance,Hiring,1,11,6,1
605,Tech,Support,4,28,19,0
606,Tech,Campaign,5,6,19,1
607,Tech,Hiring,5,4,4,0
608,HR,Payment,1,24,19,0
609,HR,Hiring,2,12,9,1
610,HR,Support,1,11,16,0
611,Marketing,Payment,1,23,4,1
612,Finance,Support,5,23,6,1
613,HR,Payment,4,27,8,0
614,Finance,Development,1,26,16,0
615,Finance,Campaign,2,25,5,0
616,Tech,Campaign,3,13,10,1
617,Marketing,Support,1,5,13,1
618,HR,Campaign,1,6,14,0
619,Tech,Support,2,1,7,1
620,Tech,Support,4,6,20,1
621,HR,Support,1,18,6,0
622,Finance,Campaign,1,22,7,0
623,Tech,Support,4,9,5,0
624,Finance,Campaign,2,24,18,0
625,Marketing,Support,1,25,12,0
626,Finance,Hiring,4,29,6,0
627,Marketing,Support,1,15,1,0
628,Finance,Payment,3,26,4,0
629,Tech,Support,5,8,19,0
630,Tech,Development,3,19,12,0
631,Marketing,Support,1,24,15,1
632,HR,Payment,2,16,3,1
633,Marketing,Payment,5,6,20,0
634,Marketing,Campaign,3,29,8,1
635,Finance,Hiring,4,6,11,1
636,Finance,Support,2,22,16,1
637,Marketing,Campaign,3,3,9,1
638,Tech,Hiring,4,10,3,1
639,Finance,Support,1,1,5,1
640,HR,Development,4,28,20,0
641,Finance,Support,3,14,14,0
642,Finance,Payment,3,4,15,1
643,HR,Payment,1,26,6,1
644,Marketing,Development,4,12,4,0
645,HR,Campaign,4,6,8,1
646,Marketing,Hiring,1,11,19,1
647,Marketing,Support,4,12,5,1
648,Marketing,Payment,1,10,13,1
649,HR,Campaign,2,18,16,1
650,Marketing,Development,3,7,1,0
651,Tech,Payment,2,7,13,0
652,HR,Development,5,11,11,1
653,Tech,Support,5,4,8,0
654,Marketing,Hiring,5,20,8,1
655,Finance,Payment,1,1,14,1
656,Marketing,Payment,4,13,13,1
657,Tech,Support,2,18,3,1
658,Tech,Campaign,2,9,4,1
659,HR,Hiring,2,26,20,1
660,Finance,Payment,2,24,15,1
661,HR,Hiring,5,24,15,1
662,Tech,Payment,2,9,13,1
663,Marketing,Hiring,4,23,9,0
664,Finance,Development,5,29,10,1
665,Marketing,Payment,2,9,12,0
666,Marketing,Hiring,1,10,14,0
667,Finance,Campaign,3,28,1,1
668,HR,Development,3,2,14,0
669,Marketing,Development,3,6,14,1
670,Tech,Campaign,5,15,8,1
671,Marketing,Hiring,2,3,16,1
672,Finance,Support,5,11,14,1
673,Finance,Campaign,4,6,1,0
674,Finance,Hiring,1,3,16,0
675,HR,Campaign,1,24,18,1
676,Marketing,Campaign,3,11,7,0
677,HR,Payment,3,15,15,0
678,HR,Hiring,3,13,17,0
679,Finance,Support,2,20,19,1
680,Finance,Payment,4,28,13,0
681,HR,Campaign,4,10,9,0
682,Marketing,Campaign,4,6,15,0
683,Tech,Campaign,4,15,3,1
684,HR,Hiring,3,25,1,0
685,Marketing,Hiring,1,18,16,0
686,Finance,Payment,3,18,8,1
687,Finance,Support,4,7,13,0
688,Marketing,Payment,3,15,8,1
689,Tech,Development,4,18,17,1
690,Finance,Campaign,5,18,14,1
691,Finance,Campaign,1,20,7,1
692,Finance,Campaign,5,9,15,1
693,Marketing,Payment,2,24,16,1
694,HR,Payment,3,2,19,0
695,Finance,Campaign,2,8,6,1
696,HR,Payment,3,20,1,0
697,Tech,Hiring,5,2,12,0
698,Finance,Hiring,4,11,18,1
699,Finance,Payment,4,26,16,0
700,Tech,Campaign,3,7,12,0
701,Finance,Payment,4,6,20,0
702,HR,Payment,5,30,13,1
703,Marketing,Payment,4,10,8,0
704,HR,Development,5,5,1,0
705,Marketing,Hiring,2,11,7,1
706,Marketing,Support,5,1,15,0
707,HR,Support,1,2,13,0
708,HR,Development,1,24,13,0
709,HR,Payment,1,1,9,1
710,HR,Development,3,19,15,0
711,Tech,Development,3,2,4,0
712,Finance,Campaign,3,21,13,1
713,Marketing,Hiring,5,20,12,1
714,HR,Support,3,29,5,1
715,HR,Payment,2,23,7,0
716,HR,Support,1,21,8,1
717,Tech,Support,5,24,5,1
718,HR,Hiring,1,4,9,1
719,HR,Support,3,12,14,0
720,HR,Support,5,22,12,1
721,Finance,Development,4,20,4,1
722,Tech,Hiring,2,18,20,1
723,HR,Campaign,3,1,8,1
724,Marketing,Payment,3,30,17,1
725,Marketing,Support,2,30,8,0
726,Marketing,Payment,2,1,1,0
727,Tech,Campaign,4,24,20,1
728,Tech,Payment,3,14,2,1
729,Marketing,Campaign,3,4,4,1
730,HR,Development,1,5,1,0
731,Tech,Support,5,11,7,0
732,Marketing,Campaign,5,24,1,0
733,Marketing,Payment,1,28,9,0
734,HR,Support,5,23,3,1
735,Finance,Development,2,13,12,1
736,Tech,Support,5,16,19,1
737,HR,Campaign,5,24,15,1
738,Marketing,Development,1,13,16,0
739,Marketing,Payment,4,24,10,1
740,HR,Development,5,22,6,0
741,Tech,Development,5,26,17,0
742,Finance,Hiring,4,2,17,1
743,Finance,Development,1,16,19,0
744,Marketing,Development,4,6,18,0
745,Tech,Support,1,14,11,1
746,Finance,Payment,2,1,7,0
747,Tech,Support,1,17,10,0
748,Tech,Support,2,11,7,1
749,Marketing,Campaign,2,19,5,0
750,Finance,Support,1,3,12,0
751,HR,Hiring,3,11,16,1
752,Marketing,Hiring,1,29,18,0
753,Finance,Campaign,5,5,3,1
754,Finance,Payment,5,17,20,0
755,Finance,Payment,3,26,15,0
756,Finance,Support,2,22,5,1
757,Finance,Support,3,7,13,1
758,Tech,Support,5,10,19,0
759,Marketing,Payment,3,28,12,1
760,Tech,Development,1,29,5,0
761,HR,Hiring,3,11,6,1
762,Finance,Development,2,3,7,0
763,Marketing,Development,1,20,10,0
764,Finance,Payment,4,10,16,0
765,Marketing,Development,5,27,8,0
766,Tech,Campaign,5,10,9,0
767,Marketing,Support,3,14,4,1
768,HR,Campaign,1,12,8,1
769,HR,Hiring,4,15,7,0
770,Marketing,Support,1,10,15,0
771,Marketing,Development,5,30,3,1
772,Marketing,Hiring,1,10,17,1
773,Marketing,Support,4,26,11,1
774,HR,Development,3,19,9,1
