Task_ID,Department,Task_Type,Priority,Deadline_Days,Estimated_Hours,Resource_Available,Optimization_Score
219,HR,Development,5,30,2,1,20.333333333333336
1636,Tech,Campaign,5,30,10,1,20.333333333333336
771,Marketing,Development,5,30,3,1,20.333333333333336
1617,Tech,Hiring,4,3,19,1,20.333333333333336
315,Tech,Hiring,5,30,15,1,20.333333333333336
2977,HR,Payment,4,3,10,1,20.333333333333336
2195,Marketing,Campaign,4,3,19,1,20.333333333333336
20,Tech,Development,5,30,15,1,20.333333333333336
2858,Marketing,Campaign,5,30,15,1,20.333333333333336
2103,Marketing,Development,5,30,13,1,20.333333333333336
1276,HR,Support,5,30,8,1,20.333333333333336
1008,Marketing,Payment,4,3,10,1,20.333333333333336
1248,Finance,Campaign,5,30,14,1,20.333333333333336
131,HR,Development,5,30,18,1,20.333333333333336
582,Marketing,Campaign,5,30,3,1,20.333333333333336
1808,Marketing,Campaign,5,30,19,1,20.333333333333336
865,HR,Campaign,4,3,15,1,20.333333333333336
2921,Marketing,Hiring,4,3,15,1,20.333333333333336
702,HR,Payment,5,30,13,1,20.333333333333336
2508,Finance,Support,4,3,16,1,20.333333333333336
1367,Tech,Payment,5,30,1,1,20.333333333333336
2718,Tech,Development,5,2,1,0,20.0
697,Tech,Hiring,5,2,12,0,20.0
954,HR,Payment,5,2,7,0,20.0
2923,Marketing,Campaign,5,2,6,0,20.0
1111,Marketing,Development,5,2,6,0,20.0
1376,Marketing,Support,5,2,10,0,20.0
802,Finance,Hiring,4,4,17,1,19.5
1406,HR,Development,4,4,2,1,19.5
1689,Marketing,Hiring,4,4,19,1,19.5
2751,HR,Development,4,4,8,1,19.5
1815,HR,Development,4,4,10,1,19.5
1339,Finance,Campaign,4,4,19,1,19.5
1190,HR,Hiring,4,4,11,1,19.5
101,Tech,Hiring,4,4,4,1,19.5
2297,Marketing,Payment,4,4,16,1,19.5
1749,Tech,Development,4,4,4,1,19.5
2286,HR,Support,4,4,18,1,19.5
1857,Marketing,Hiring,3,2,3,1,19.0
2746,Finance,Development,3,1,4,0,19.0
1846,Tech,Campaign,4,5,10,1,19.0
161,Tech,Support,4,5,10,1,19.0
1740,Tech,Hiring,3,2,4,1,19.0
1445,Tech,Development,4,5,16,1,19.0
2451,Tech,Hiring,4,5,20,1,19.0
1631,Tech,Support,3,2,19,1,19.0
1562,HR,Support,4,5,1,1,19.0
1039,Marketing,Payment,4,5,8,1,19.0
849,Tech,Support,4,5,15,1,19.0
780,Tech,Hiring,3,2,20,1,19.0
2613,Finance,Campaign,3,1,14,0,19.0
2549,Finance,Development,4,5,4,1,19.0
301,Marketing,Support,3,2,20,1,19.0
389,Marketing,Hiring,3,1,12,0,19.0
1321,HR,Support,4,5,4,1,19.0
2041,Marketing,Development,3,2,12,1,19.0
2027,Tech,Campaign,4,5,11,1,19.0
2387,Finance,Support,3,1,18,0,19.0
1869,Marketing,Campaign,3,1,7,0,19.0
1871,Tech,Payment,3,1,13,0,19.0
963,Finance,Support,4,5,13,1,19.0
1879,HR,Development,4,5,5,1,19.0
2848,HR,Development,4,5,7,1,19.0
1001,Finance,Support,4,5,8,1,19.0
497,Tech,Development,3,1,5,0,19.0
420,Finance,Support,4,5,15,1,19.0
2261,Marketing,Campaign,4,5,4,1,19.0
489,Marketing,Support,3,1,2,0,19.0
2979,Marketing,Campaign,3,2,16,1,19.0
2962,Marketing,Development,4,6,11,1,18.666666666666664
230,Marketing,Payment,4,6,9,1,18.666666666666664
2222,Tech,Hiring,4,6,14,1,18.666666666666664
252,Marketing,Support,4,6,20,1,18.666666666666664
259,HR,Hiring,4,6,20,1,18.666666666666664
1533,Finance,Campaign,4,6,10,1,18.666666666666664
645,HR,Campaign,4,6,8,1,18.666666666666664
1838,HR,Hiring,4,6,7,1,18.666666666666664
2685,Finance,Hiring,4,6,2,1,18.666666666666664
635,Finance,Hiring,4,6,11,1,18.666666666666664
2763,Tech,Support,4,6,13,1,18.666666666666664
620,Tech,Support,4,6,20,1,18.666666666666664
186,Marketing,Support,4,7,15,1,18.42857142857143
192,Tech,Payment,4,7,1,1,18.42857142857143
1544,Marketing,Campaign,4,7,15,1,18.42857142857143
486,Finance,Hiring,4,7,12,1,18.42857142857143
1086,Marketing,Campaign,4,7,10,1,18.42857142857143
1976,Marketing,Payment,4,7,7,1,18.42857142857143
380,Marketing,Campaign,4,7,17,1,18.42857142857143
2815,HR,Payment,4,7,17,1,18.42857142857143
1782,HR,Payment,4,7,5,1,18.42857142857143
2878,HR,Support,4,7,8,1,18.42857142857143
1356,HR,Campaign,4,7,17,1,18.42857142857143
411,Tech,Support,5,3,5,0,18.333333333333332
2053,Finance,Development,5,3,20,0,18.333333333333332
2163,Tech,Support,5,3,2,0,18.333333333333332
1611,Marketing,Hiring,5,3,14,0,18.333333333333332
2795,HR,Payment,5,3,13,0,18.333333333333332
2909,HR,Campaign,5,3,8,0,18.333333333333332
1476,HR,Support,4,8,13,1,18.25
1258,Tech,Support,4,8,16,1,18.25
2696,Finance,Hiring,4,8,13,1,18.25
198,HR,Development,4,8,15,1,18.25
155,Marketing,Campaign,4,8,4,1,18.25
2814,HR,Support,4,8,3,1,18.25
506,Marketing,Payment,4,9,3,1,18.11111111111111
804,Marketing,Support,4,9,14,1,18.11111111111111
1430,Tech,Hiring,4,9,8,1,18.11111111111111
135,Tech,Campaign,4,9,3,1,18.11111111111111
1966,Marketing,Campaign,4,9,15,1,18.11111111111111
136,Marketing,Support,4,9,16,1,18.11111111111111
1446,Marketing,Support,4,9,12,1,18.11111111111111
2835,Tech,Hiring,4,9,6,1,18.11111111111111
1908,Marketing,Development,4,9,12,1,18.11111111111111
2324,HR,Hiring,4,9,15,1,18.11111111111111
891,Tech,Development,4,9,7,1,18.11111111111111
78,HR,Development,4,9,17,1,18.11111111111111
1898,Tech,Development,4,10,16,1,18.0
2936,Marketing,Hiring,4,10,6,1,18.0
2149,Finance,Campaign,4,10,10,1,18.0
1680,Finance,Support,4,10,8,1,18.0
957,HR,Hiring,4,10,19,1,18.0
638,Tech,Hiring,4,10,3,1,18.0
2301,Marketing,Development,1,1,9,1,18.0
2315,Tech,Support,4,10,10,1,18.0
639,Finance,Support,1,1,5,1,18.0
2023,Finance,Campaign,1,1,11,1,18.0
215,Tech,Campaign,4,10,4,1,18.0
2353,Tech,Development,4,10,9,1,18.0
1244,Tech,Hiring,1,1,6,1,18.0
1514,Marketing,Payment,4,10,11,1,18.0
2655,Tech,Hiring,1,1,1,1,18.0
845,Marketing,Payment,4,10,2,1,18.0
75,Marketing,Payment,4,10,10,1,18.0
1706,HR,Development,1,1,17,1,18.0
709,HR,Payment,1,1,9,1,18.0
2457,Tech,Development,1,1,8,1,18.0
655,Finance,Payment,1,1,14,1,18.0
2133,Finance,Campaign,4,10,3,1,18.0
1889,Tech,Campaign,1,1,7,1,18.0
302,Marketing,Hiring,4,11,5,1,17.909090909090907
1353,Tech,Hiring,4,11,15,1,17.909090909090907
1751,HR,Hiring,4,11,6,1,17.909090909090907
2953,Finance,Development,4,11,11,1,17.909090909090907
1602,Tech,Support,4,11,3,1,17.909090909090907
471,Marketing,Hiring,4,11,7,1,17.909090909090907
590,Marketing,Campaign,4,11,19,1,17.909090909090907
1819,Finance,Support,4,11,10,1,17.909090909090907
698,Finance,Hiring,4,11,18,1,17.909090909090907
273,HR,Payment,4,11,16,1,17.909090909090907
247,Marketing,Hiring,4,12,10,1,17.833333333333336
2811,Marketing,Support,4,12,8,1,17.833333333333336
145,HR,Hiring,4,12,20,1,17.833333333333336
1426,Finance,Support,4,12,7,1,17.833333333333336
1538,Finance,Development,4,12,1,1,17.833333333333336
239,Tech,Support,4,12,4,1,17.833333333333336
450,Finance,Campaign,4,12,7,1,17.833333333333336
81,Tech,Payment,4,12,12,1,17.833333333333336
2731,Tech,Development,4,12,19,1,17.833333333333336
647,Marketing,Support,4,12,5,1,17.833333333333336
1685,Tech,Campaign,4,13,10,1,17.76923076923077
2597,Tech,Hiring,4,13,17,1,17.76923076923077
1137,Tech,Development,4,13,7,1,17.76923076923077
656,Marketing,Payment,4,13,13,1,17.76923076923077
2674,Tech,Campaign,4,13,7,1,17.76923076923077
1968,HR,Campaign,4,13,13,1,17.76923076923077
2821,HR,Campaign,4,13,12,1,17.76923076923077
1059,Finance,Support,4,14,14,1,17.714285714285715
1316,HR,Hiring,4,14,1,1,17.714285714285715
297,Finance,Support,4,14,2,1,17.714285714285715
2073,HR,Payment,4,14,12,1,17.714285714285715
540,Finance,Hiring,4,14,12,1,17.714285714285715
1438,Marketing,Campaign,4,14,2,1,17.714285714285715
2210,Marketing,Development,4,14,4,1,17.714285714285715
1186,HR,Campaign,4,14,7,1,17.714285714285715
94,Finance,Campaign,4,14,3,1,17.714285714285715
2667,HR,Payment,4,15,3,1,17.666666666666664
1361,Finance,Hiring,4,15,5,1,17.666666666666664
683,Tech,Campaign,4,15,3,1,17.666666666666664
1887,Finance,Development,4,15,5,1,17.666666666666664
1341,Tech,Payment,4,15,16,1,17.666666666666664
1931,HR,Hiring,4,15,4,1,17.666666666666664
2784,Finance,Payment,4,15,7,1,17.666666666666664
